seed	injection_rate	fault_type	fdr
1024	0.50	cost_explosion	1.000
42	0.50	circular_delegation	1.000
123	0.50	circular_delegation	1.000
456	0.50	circular_delegation	0.500
789	0.50	circular_delegation	0.000
1024	0.50	circular_delegation	0.000
42	0.50	tool_failure	1.000
123	0.50	tool_failure	1.000
456	0.50	tool_failure	1.000
789	0.50	tool_failure	1.000
1024	0.50	tool_failure	1.000
42	0.50	timeout	1.000
123	0.50	timeout	1.000
456	0.50	timeout	1.000
789	0.50	timeout	1.000
1024	0.50	timeout	1.000
42	0.50	stale_retrieval	1.000
123	0.50	stale_retrieval	1.000
456	0.50	stale_retrieval	1.000
789	0.50	stale_retrieval	1.000
1024	0.50	stale_retrieval	1.000
42	0.50	guardrail_bypass	1.000
123	0.50	guardrail_bypass	1.000
456	0.50	guardrail_bypass	1.000
789	0.50	guardrail_bypass	1.000
1024	0.50	guardrail_bypass	1.000
42	0.50	planning_failure	1.000
123	0.50	planning_failure	1.000
456	0.50	planning_failure	1.000
789	0.50	planning_failure	1.000
1024	0.50	planning_failure	1.000
42	0.50	reasoning_loop	1.000
123	0.50	reasoning_loop	1.000
456	0.50	reasoning_loop	1.000
789	0.50	reasoning_loop	1.000
1024	0.50	reasoning_loop	1.000
42	0.50	agent_misroute	1.000
123	0.50	agent_misroute	1.000
456	0.50	agent_misroute	1.000
789	0.50	agent_misroute	1.000
1024	0.50	agent_misroute	1.000
42	0.50	memory_corruption	1.000
123	0.50	memory_corruption	1.000
456	0.50	memory_corruption	1.000
789	0.50	memory_corruption	1.000
1024	0.50	memory_corruption	1.000
42	0.75	wrong_tool	1.000
123	0.75	wrong_tool	1.000
456	0.75	wrong_tool	1.000
789	0.75	wrong_tool	1.000
1024	0.75	wrong_tool	1.000
42	0.75	hallucination	1.000
123	0.75	hallucination	1.000
456	0.75	hallucination	1.000
789	0.75	hallucination	1.000
1024	0.75	hallucination	1.000
42	0.75	infinite_loop	1.000
123	0.75	infinite_loop	1.000
456	0.75	infinite_loop	0.000
789	0.75	infinite_loop	1.000
1024	0.75	infinite_loop	1.000
42	0.75	context_overflow	1.000
123	0.75	context_overflow	1.000
456	0.75	context_overflow	0.000
789	0.75	context_overflow	1.000
1024	0.75	context_overflow	1.000
42	0.75	cost_explosion	1.000
123	0.75	cost_explosion	1.000
456	0.75	cost_explosion	1.000
789	0.75	cost_explosion	1.000
1024	0.75	cost_explosion	1.000
42	0.75	circular_delegation	1.000
123	0.75	circular_delegation	1.000
456	0.75	circular_delegation	0.500
789	0.75	circular_delegation	1.000
1024	0.75	circular_delegation	0.000
42	0.75	tool_failure	1.000
123	0.75	tool_failure	1.000
456	0.75	tool_failure	1.000
789	0.75	tool_failure	1.000
1024	0.75	tool_failure	1.000
42	0.75	timeout	1.000
123	0.75	timeout	1.000
456	0.75	timeout	1.000
789	0.75	timeout	1.000
1024	0.75	timeout	1.000
42	0.75	stale_retrieval	1.000
123	0.75	stale_retrieval	1.000
456	0.75	stale_retrieval	1.000
789	0.75	stale_retrieval	1.000
1024	0.75	stale_retrieval	1.000
42	0.75	guardrail_bypass	1.000
123	0.75	guardrail_bypass	1.000
456	0.75	guardrail_bypass	1.000
789	0.75	guardrail_bypass	1.000
1024	0.75	guardrail_bypass	1.000
42	0.75	planning_failure	1.000
123	0.75	planning_failure	1.000
456	0.75	planning_failure	1.000
789	0.75	planning_failure	1.000
1024	0.75	planning_failure	1.000
42	0.75	reasoning_loop	1.000
123	0.75	reasoning_loop	1.000
456	0.75	reasoning_loop	1.000
789	0.75	reasoning_loop	1.000
1024	0.75	reasoning_loop	1.000
42	0.75	agent_misroute	1.000
123	0.75	agent_misroute	1.000
456	0.75	agent_misroute	1.000
789	0.75	agent_misroute	1.000
1024	0.75	agent_misroute	1.000
42	0.75	memory_corruption	1.000
123	0.75	memory_corruption	1.000
456	0.75	memory_corruption	1.000
789	0.75	memory_corruption	1.000
1024	0.75	memory_corruption	1.000
42	1.00	wrong_tool	1.000
123	1.00	wrong_tool	1.000
456	1.00	wrong_tool	1.000
789	1.00	wrong_tool	1.000
1024	1.00	wrong_tool	1.000
42	1.00	hallucination	1.000
123	1.00	hallucination	1.000
456	1.00	hallucination	1.000
789	1.00	hallucination	1.000
1024	1.00	hallucination	1.000
42	1.00	infinite_loop	1.000
123	1.00	infinite_loop	1.000
456	1.00	infinite_loop	1.000
789	1.00	infinite_loop	1.000
1024	1.00	infinite_loop	1.000
42	1.00	context_overflow	1.000
123	1.00	context_overflow	1.000
